Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu),Storage(TWh),LNG_sendout(GWh/d),corridor_BY,corridor_DE,corridor_DZ,corridor_LY,corridor_MA,corridor_NO,corridor_RU-Baltic,corridor_TR,corridor_UA,Berlin_HDD,London_HDD,Rome_HDD,Berlin_CDD,London_CDD,Rome_CDD,USD-EUR,VIX,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore,DE_price(EUR/MWh)
2023-12-07,16.049999237060547,2.5850000381469727,12.612055298810246,1044.086,4256.0,90.966507,0.0,1011.373974,65.676198,0.0,4099.1030474,0.0,848.5006689999999,600.283694,17.9,11.7,12.4,0.0,0.0,0.0,1.076669692993164,14.350000381469728,8949.704166666666,1260.725,29932.0,1275.7875,33792.15652173913,13207.44347826087,756.6043478260871,466.06666666666666,759.0,630.3833333333333,25202.08333333333,7072.883333333334,-2526.5333333333333,24333.604166666668,186432.6311111111,77118.875,457.9791666666667,4750.513043478261,85.24782608695652,80.7953488372093,157075.2,6579.108333333334,2577.770833333333,5013.775000000001,22730.317391304347,116.0975
2023-12-08,15.975000381469728,2.5810000896453857,12.208532948849482,1039.2411,4018.3,101.855547,0.0,944.696537,65.501903,0.0,4036.9718933,0.0,817.920256,604.3596191299999,17.7,10.1,12.0,0.0,0.0,0.0,1.079214334487915,13.880000114440918,8638.983333333334,1731.8583333333331,29099.05833333333,1285.9458333333334,25336.34255319149,11313.463829787235,624.2148936170213,496.15,626.7833333333333,637.1416666666667,24281.420833333334,5349.8875,-4931.816666666667,22062.24583333333,167801.42127659573,76904.30833333333,455.775,4078.906382978724,92.63829787234044,90.47608695652173,133162.62978723404,5791.466666666666,2603.225,8722.316666666668,27259.497872340424,104.00916666666666
2023-12-11,15.744999885559082,2.430999994277954,11.396191748742751,1030.4717,3990.1,92.927675,0.0,959.526762,54.797852,0.0,4059.9471184,0.0,793.531065,583.353848,11.1,9.6,7.0,0.0,0.0,0.0,1.0765769481658936,13.850000381469728,8651.658333333333,2209.71875,25300.591666666664,1328.2541666666666,23811.189583333336,9118.3375,643.3291666666667,523.0166666666667,739.6333333333333,612.5083333333333,24637.254166666666,6551.929166666666,-4007.658333333333,22319.50833333333,163817.26041666666,75983.65,444.075,4667.247916666666,57.68958333333333,45.12083333333334,124010.93958333333,6985.1375,2672.2375,5860.3125,33383.597916666666,81.28666666666668
2023-12-12,15.614999771118164,2.311000108718872,10.950545716568389,1026.5985,3905.1,85.850496,0.0,959.299704,43.961878,0.0,4009.179578,0.0,832.112334,589.448945,12.5,8.8,3.0,0.0,0.0,0.0,1.076658010482788,13.670000076293944,8512.816666666668,2421.0437500000003,28597.575,1425.95,27970.283333333336,11734.708333333334,716.0791666666668,612.875,672.4499999999999,613.2458333333333,24440.69583333333,5713.575,-3059.7666666666664,22319.766666666663,165261.85624999998,77757.15416666666,445.0625,4078.1104166666655,47.9625,34.510416666666664,135470.10208333333,6787.3,2706.2625000000003,6287.570833333334,23254.31875,105.53333333333336
2023-12-13,15.454999923706056,2.3350000381469727,11.334172770259164,1022.6145,3931.7,91.438458,0.0,950.794303,0.136466,0.0,4033.5056184,0.0,836.232534,592.157684,13.9,10.9,2.3000000000000007,0.0,0.0,0.0,1.0798670053482056,13.0600004196167,8598.4625,1686.2020833333331,28560.391666666663,1405.3041666666668,27362.244680851065,11031.553191489362,684.5148936170212,614.3625000000001,618.0875,618.025,24935.475,4493.325,-5243.345833333334,22416.658333333336,167444.83333333334,77985.15000000001,452.775,4025.1,55.52127659574468,40.755319148936174,131629.48333333334,5738.120833333333,2649.858333333333,10382.391666666666,28345.62340425532,93.12333333333332
2023-12-14,15.324999809265137,2.3919999599456787,11.119039434123051,1018.2759,4000.6,95.644314,0.0,948.029496,32.837652,0.0,4037.9191199,0.0,808.198403,589.588657,15.2,13.4,5.699999999999999,0.0,0.0,0.0,1.0886130332946775,12.829999923706056,8711.0,2195.7166666666667,29464.30833333333,1145.5083333333334,30870.379166666666,11920.625,638.7458333333333,597.4083333333334,490.2375,618.025,25466.6625,7418.549999999999,-3522.441666666667,23211.9125,174645.61086956522,78479.5,459.20416666666665,3874.2375,73.2,54.45217391304348,149488.17173913046,7658.170833333334,2600.454166666667,3089.554166666667,18761.64375,107.49
2023-12-15,15.196999549865724,2.490999937057495,10.693630037358822,1014.5261,3980.7,93.905003,0.0,929.308662,65.595045,0.0,4007.5004203,0.0,781.585507,588.957321,15.4,13.0,8.1,0.0,0.0,0.0,1.0993602275848389,12.789999961853027,8609.454166666666,2344.052083333333,28678.104166666668,1149.8083333333334,25108.479166666668,9549.80625,574.5708333333333,555.3583333333333,520.4625,623.5583333333333,25485.20833333333,6247.133333333334,-2718.7125,22941.25,165134.98541666666,79383.35833333334,467.3541666666667,3806.8020833333335,84.08125,66.40625,133621.22291666668,8230.141666666666,2648.9291666666663,6265.229166666667,24266.066666666666,92.44666666666666
2023-12-18,12.395000457763672,2.503000020980835,11.3429532857009,1006.602,4256.2,87.481552,0.0,933.885273,92.726549,0.0,4024.6333605,0.0,777.944565,573.325742,11.8,8.2,12.5,0.0,0.0,0.0,1.0895264148712158,12.93000030517578,8166.045833333334,-261.92708333333326,19948.775,1290.5833333333333,24895.408333333336,7707.8875,758.4625,391.175,252.9333333333333,636.5458333333333,24777.15,8322.916666666666,-2947.1375000000003,17214.716666666667,167349.10624999998,81859.29166666667,452.4666666666667,3963.560416666666,68.19375000000001,49.59791666666666,123464.8625,12055.558333333334,2617.5625,11985.675,31863.627083333336,77.74041666666666
2023-12-19,11.774999618530272,2.492000102996826,10.42694124495228,1002.2363,3986.7,96.180496,0.0,898.86217,76.474995,0.0,4080.7939637,0.0,777.506493,587.138037,11.2,7.9,10.7,0.0,0.0,0.0,1.092382788658142,13.93000030517578,8151.125,973.85,21263.25,1292.5041666666666,24484.94583333333,7442.41875,729.4958333333334,277.5625,264.6333333333333,619.8916666666667,25036.70833333333,8131.283333333333,-2468.2,17206.766666666666,168421.75208333333,81070.76666666666,455.45416666666665,3728.95,86.66458333333333,70.34375,122609.01041666669,10557.175,2651.9708333333333,10103.145833333334,35482.59791666667,76.72958333333334
2023-12-20,11.8100004196167,2.447000026702881,10.788266139099484,998.5996,3773.6,97.286223,0.0,905.450333,70.943551,0.0,4033.6892428,0.0,773.482115,598.969444,12.6,10.4,10.6,0.0,0.0,0.0,1.0981045961380005,15.850000381469728,8231.529166666667,191.92291666666668,17645.55,1411.9708333333335,20370.516666666663,7311.162499999999,598.5645833333333,355.5083333333334,451.8541666666667,630.2416666666667,24170.879166666666,6189.258333333334,-4856.1125,19212.920833333334,169582.5978723404,80008.72499999999,445.2875,4269.802083333333,97.69375,98.08297872340424,115069.44255319147,7308.566666666667,2646.795833333333,11605.2,43949.93125,60.85125
