Date,Biomass,Cross border electricity trading,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil gas,Fossil hard coal,Fossil oil,Fossil oil shale,Fossil peat,Geothermal,Hydro Run-of-River,Hydro pumped storage,Hydro pumped storage consumption,Hydro water reservoir,Load,Nuclear,Other renewables,Others,Renewable share of generation,Renewable share of load,Residual load,Solar,Waste,Wind offshore,Wind onshore
2021-04-01,6832.471875,1818.0593055555555,22017.41402777778,769.4675000000001,39814.190625,9252.70451388889,949.8277777777778,221.58263888888888,435.84277777777777,664.5843055555556,10396.354374999999,1813.5185416666668,-3246.233333333333,15847.878055555555,178844.78361111114,42490.701250000006,501.2729166666667,4055.957152777778,49.75756944444445,45.676180555555554,142305.92055555558,11404.059513888888,2574.927222222222,4674.483819444445,20465.02597222222
2021-05-01,6913.395999199268,3050.7763440860213,17630.56626344086,835.4072580645161,29587.237000972316,7177.3002959849,966.1981282887211,227.42204301075267,407.03172043010755,653.1005376344086,13663.562798844658,1740.318063658202,-3405.9294354838707,16753.34690860215,169360.56518817204,40196.6070707504,500.5327956989247,3837.1870352894075,55.90789150080074,49.76465053763441,131093.38884408603,12582.425739247312,2599.525537634409,4113.38561827957,21582.428561827957
2021-06-01,7769.284311868687,2878.5694823232325,21110.499444444446,823.6009722222223,40223.79433712121,12922.0405239899,1714.4186237373738,362.96958333333333,255.03444444444446,652.9170833333334,20969.963724747475,2771.913964646465,-2437.420416666667,16464.981111111112,231921.292885101,59438.844936868685,493.69430555555556,5157.974520202019,45.48901515151515,41.36761994949495,191637.53953282826,19772.418150252528,2542.6761111111114,2887.671212121212,17623.66523989899
2021-07-01,8334.308198924731,2068.3470430107527,21594.935215053763,817.8965053763442,44385.91975806451,19077.49650537634,2404.548387096774,408.53145161290325,121.84341397849462,654.7676075268818,23442.46693548387,3008.434811827957,-2332.339919354839,15850.018279569891,284612.861827957,76206.85725806453,493.6247311827957,6121.608602150538,36.85013440860215,35.76048387096775,232223.36868279573,22832.18373655914,2727.00188172043,3492.811021505376,26064.497983870966
2021-08-01,8757.708467741937,-622.7033602150537,23493.380510752686,918.8399193548388,36094.37432795699,17377.74301075269,2241.950537634408,316.10376344086023,331.04193548387093,648.2939516129032,20990.718548387096,3520.502419354839,-2677.3860215053764,14916.586424731184,273148.7053763441,77162.74408602151,487.42594086021506,6016.720698924732,37.56962365591398,36.884139784946235,218874.53911290324,20779.377284946237,2836.5783602150536,4962.879032258064,28531.913172043012
2021-09-01,9141.326111111111,-534.7775,25435.799444444445,764.8909722222222,47261.60305555556,25738.354166666668,2005.5731944444444,497.42055555555555,403.3691666666667,662.6177777777777,15901.08722222222,3315.4219444444448,-3229.941527777778,12847.964305555555,280868.24375,78503.85125,489.3958333333333,6092.041249999999,31.24458333333333,30.73708333333333,234092.575,17856.892222222225,2446.2415277777777,3618.103611111111,25300.67111111111
2021-10-01,9609.28185483871,-2869.7819892473117,26299.915188172043,828.674059139785,44581.79112903225,23133.03682795699,2111.1711021505375,445.41572580645163,372.5521505376344,667.6642473118279,13873.463172043012,3534.4092741935483,-4149.6928763440865,12116.442607526882,289326.63857526885,79618.85174731183,490.1025537634409,6303.769220430107,35.29005376344086,35.17674731182796,225761.4134408602,13002.406586021507,2520.195833333333,7393.299059139786,43169.51908602151
2021-11-01,10100.584027777777,-952.99,28145.966944444444,866.5529166666668,67842.55708333333,28340.123333333333,2143.541388888889,597.8080555555555,614.3541666666666,659.5544444444444,14599.860277777778,4240.534305555556,-4106.879305555555,14646.3,319501.37555555557,81383.77166666667,508.65333333333336,6573.175555555556,30.76736111111111,30.526944444444442,264321.975,6860.79375,2709.04875,6480.99125,41837.61319444444
2021-12-01,10161.099999999999,-1632.7354838709675,29428.308602150537,855.9245967741934,62696.720430107525,27709.15255376344,2171.469758064516,798.2369623655914,894.5294354838709,664.4006720430108,17620.76801075269,4376.4794354838705,-4899.697043010753,18076.54731182796,331591.23454301077,82233.95161290323,497.0385752688172,7624.400134408603,34.041935483870965,33.76854838709678,269192.59139784944,5110.135887096774,2712.3997311827957,6782.687365591399,50505.81451612903
2022-01-01,9935.964381720429,379.1225134408602,27836.85698924731,847.5189516129033,63641.383821897936,25932.62707799966,2280.605446748592,622.9362903225807,787.082258064516,673.8181451612903,18206.915994623658,3885.838037634409,-4292.13064516129,16035.816935483872,171535.2331418622,85512.56693548388,492.03884408602147,7820.747465437788,39.483780235631144,39.820162144105254,136559.21757817914,7584.461827956989,2589.368817204301,7613.472715053764,49199.75203757721
