Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu)
2023-02-01,16.874579028079385,2.437473673569529,16.59755770828856
2023-03-01,13.594695671744969,2.4077826427376787,13.811497463293792
2023-04-01,12.338842141000848,2.197263152975785,13.51005980120812
2023-05-01,10.450863534753973,2.2993181943893433,10.239370846137135
2023-06-01,10.610666638328915,2.4746190366290866,10.320269964648658
2023-07-01,11.439700174331666,2.636550009250641,9.444839437219681
2023-08-01,12.430434766023055,2.645130426987358,11.19284381199272
2023-09-01,13.919200038909912,2.6956499934196474,11.591126744251554
2023-10-01,16.30113632028753,3.1491818102923306,14.57781928207573
2023-11-01,17.01819047473726,3.0499999956651167,14.47879270368776
2023-12-01,14.032349872589112,2.5388499975204466,11.495187762109916
2024-01-01,10.320714223952521,2.7149999936421714,9.565056961745514
2024-02-01,8.931599998474121,1.7955000042915343,8.18280458849205
2024-03-01,8.950799942016602,1.747299998998642,8.560204568245927
2024-04-01,10.052363699132746,1.7912272702563892,9.102480665412
2024-05-01,11.100181796334006,2.4179999990896746,10.073104068115425
2024-06-01,12.29963157051488,2.809578958310579,10.866471790594815
2024-07-01,12.313227263363926,2.208681805567308,10.335494874673806
2024-08-01,13.304909099232066,2.0856363664973867,12.379224808360119
2024-09-01,13.40994997024536,2.409250020980835,11.744566356882387
2024-10-01,13.343869623930559,2.5769565209098486,12.920730096964942
2024-11-01,14.115700006484985,2.982000005245209,13.91411738689727
2024-12-01,14.341761861528669,3.406619049253918,13.865452519844945
2025-01-01,14.160428546723866,3.7213809490203857,14.678993853817648
2025-02-01,14.403157936899285,3.7409473720349764,15.361218417143412
2025-03-01,13.497333299546014,4.137476239885602,13.221147798931575
2025-04-01,12.224381038120814,3.4257618813287642,11.524144880946691
2025-05-01,11.828238123939151,3.4608095600491477,11.619363110145137
2025-06-01,13.05044994354248,3.643649995326996,12.282624700769047
2025-07-01,12.524545366113836,3.306130429972773,11.630756897860508
2025-08-01,11.62395241146996,2.888523817062378,11.151391586328026
2025-09-01,11.313095183599563,3.0097618897755942,11.124610441162185
2025-10-01,11.111565216727879,3.3532608695652173,10.895297392110022
2025-11-01,11.246420960677298,4.46726309625726,10.451956265258337
2025-12-01,10.23554533178156,4.394227277148854,9.478225338745583
2026-01-01,10.430999946594238,4.267950010299683,11.75080596861837
2026-02-01,10.820947446321187,3.1292631375162223,11.264914682273528
2026-03-01,18.26499990983443,3.0393636551770298,17.921295455870908
2026-04-01,17.817285719371977,2.679380950473604,15.408819856210208
2026-05-01,17.74749994277954,2.936900019645691,16.20322701226557
2026-06-01,17.328952335176012,3.2009047667185464,15.224940365028768
2026-07-01,18.980857304164342,2.939409082586115,18.196068680795797
