Date,Av_storage(bcm)
2020-05-12,72.23448571428571
2020-05-13,72.44120000000001
2020-05-14,72.67162857142857
2020-05-15,72.92801904761905
2020-05-16,73.32079999999999
2020-05-17,73.75734285714286
2020-05-18,74.12418095238095
2020-05-19,74.4442
2020-05-20,74.69206666666666
2020-05-21,75.09100952380952
2020-05-22,75.56728571428572
2020-05-23,76.03034285714286
2020-05-24,76.44807619047619
2020-05-25,76.80036190476191
2020-05-26,77.0942
2020-05-27,77.31099999999999
2020-05-28,77.56564761904762
2020-05-29,77.83654285714286
2020-05-30,78.18381904761905
2020-05-31,78.54986666666666
2020-06-01,78.90209523809524
2020-06-02,79.17157142857143
2020-06-03,79.43815238095237
2020-06-04,79.72001904761905
2020-06-05,80.00737142857143
2020-06-06,80.37000952380951
2020-06-07,80.73618095238096
2020-06-08,80.96373333333334
2020-06-09,81.12518095238094
2020-06-10,81.29448571428571
2020-06-11,81.54309523809523
2020-06-12,81.83111428571429
2020-06-13,82.22007619047619
2020-06-14,82.60180952380952
2020-06-15,82.81176190476191
2020-06-16,83.01104761904762
2020-06-17,83.19959047619048
2020-06-18,83.42044761904762
2020-06-19,83.66288571428571
2020-06-20,84.0242
2020-06-21,84.41475238095238
2020-06-22,84.6982380952381
2020-06-23,84.9416
2020-06-24,85.16820952380952
2020-06-25,85.39614285714285
2020-06-26,85.66818095238095
2020-06-27,86.03279047619047
2020-06-28,86.42084761904762
2020-06-29,86.6951142857143
2020-06-30,86.80118095238096
2020-07-01,87.13228571428571
2020-07-02,87.33917142857142
2020-07-03,87.6569142857143
2020-07-04,88.06289523809524
2020-07-05,88.47945714285714
2020-07-06,88.70428571428572
2020-07-07,88.83999047619048
2020-07-08,88.94739047619048
2020-07-09,89.06354285714285
2020-07-10,89.26622857142857
2020-07-11,89.60794285714286
2020-07-12,90.00699047619048
2020-07-13,90.28674285714285
2020-07-14,90.37171428571429
2020-07-15,90.34018095238096
2020-07-16,90.4132
2020-07-17,90.49542857142858
2020-07-18,90.63294285714285
2020-07-19,90.81715238095238
2020-07-20,90.90727619047618
2020-07-21,90.9384380952381
2020-07-22,90.98547619047619
2020-07-23,91.03300952380953
2020-07-24,91.11038095238095
2020-07-25,91.16640952380952
2020-07-26,91.49390476190476
2020-07-27,91.7172
2020-07-28,92.00941904761905
2020-07-29,92.20474285714286
2020-07-30,92.36935238095238
2020-07-31,92.21121904761905
2020-08-01,92.79950476190477
2020-08-02,93.10730476190477
2020-08-03,93.31181904761904
2020-08-04,93.50907619047618
2020-08-05,93.6796761904762
2020-08-06,93.87909523809523
2020-08-07,94.11335238095238
2020-08-08,94.42993333333334
2020-08-09,94.77648571428571
2020-08-10,94.90492380952381
2020-08-11,95.15706666666667
2020-08-12,95.36037142857143
2020-08-13,95.55920952380953
2020-08-14,95.80099047619048
2020-08-15,96.09447619047619
2020-08-16,96.40859047619048
2020-08-17,96.63542857142858
2020-08-18,96.83739047619048
2020-08-19,97.0325619047619
2020-08-20,97.2200380952381
2020-08-21,97.47497142857144
2020-08-22,97.79729523809523
2020-08-23,98.10877142857143
2020-08-24,98.23618095238096
2020-08-25,98.38629523809524
2020-08-26,98.51482857142858
2020-08-27,98.5799619047619
2020-08-28,98.53660952380952
2020-08-29,98.6818857142857
2020-08-30,98.84160952380952
2020-08-31,98.58550476190476
2020-09-01,98.60477142857144
2020-09-02,98.89367619047619
2020-09-03,99.0540761904762
2020-09-04,99.21825714285714
2020-09-05,99.47821904761906
2020-09-06,99.72671428571428
2020-09-07,99.85245714285715
2020-09-08,99.97117142857144
2020-09-09,100.10913333333333
2020-09-10,100.22004761904762
2020-09-11,100.3760380952381
2020-09-12,100.65742857142857
2020-09-13,100.94754285714286
2020-09-14,101.09404761904761
2020-09-15,101.21045714285715
2020-09-16,101.31909523809524
2020-09-17,101.28063809523809
2020-09-18,101.43448571428573
2020-09-19,101.64071428571428
2020-09-20,101.85343809523809
2020-09-21,101.94288571428572
2020-09-22,102.03261904761905
2020-09-23,102.1297904761905
2020-09-24,102.26185714285714
2020-09-25,102.38698095238095
2020-09-26,102.53950476190477
2020-09-27,102.66839047619048
2020-09-28,102.60970476190477
2020-09-29,102.56222857142856
2020-09-30,102.45678095238095
2020-10-01,102.48859047619048
2020-10-02,102.6454
2020-10-03,102.86400952380953
2020-10-04,103.09796190476192
2020-10-05,103.15714285714287
2020-10-06,103.22748571428572
2020-10-07,103.2747619047619
2020-10-08,103.32157142857143
2020-10-09,103.38305714285714
2020-10-10,103.63532380952381
2020-10-11,103.74642857142858
2020-10-12,103.68349523809523
2020-10-13,103.56645714285713
2020-10-14,103.44279047619048
