Date,JKM(USD/mmbtu),HH(USD/mmbtu),TTF(USD/mmbtu)
2024-04-04,9.545000076293945,1.7740000486373901,8.324434381857419
2024-04-05,9.545000076293945,1.784999966621399,8.450488722203604
2024-04-08,9.574999809265137,1.843999981880188,8.858648166953811
2024-04-09,9.585000038146973,1.871999979019165,8.708441123677181
2024-04-10,9.585000038146973,1.8849999904632568,8.625056695930244
2024-04-11,9.609999656677246,1.7640000581741333,9.24851649794111
2024-04-12,9.645000457763672,1.7699999809265137,9.66171147738032
2024-04-15,9.687000274658203,1.690999984741211,9.7204379791444
2024-04-16,11.260000228881836,1.7319999933242798,10.320243928767928
2024-04-17,10.744999885559082,1.7120000123977661,9.740179240819346
2024-04-18,10.880000114440918,1.7569999694824219,10.103094072076773
2024-04-19,10.5,1.7519999742507935,9.595364969565894
2024-04-22,10.529999732971191,1.7910000085830688,9.155726916174483
2024-04-23,10.225000381469727,1.812000036239624,8.873276899964194
2024-04-24,10.4350004196167,1.652999997138977,9.103713360391797
2024-04-25,10.430000305175781,1.6380000114440918,9.336052012794648
2024-04-26,10.324999809265137,1.6139999628067017,9.083694047479236
2024-04-29,10.210000038146973,2.0299999713897705,8.784526045491921
2024-04-30,10.335000038146973,1.9910000562667847,9.144777225522963
2024-05-01,10.234999656677246,1.9320000410079956,8.981537413416957
2024-05-02,10.40999984741211,2.0350000858306885,9.713822027501154
2024-05-03,10.470000267028809,2.1419999599456787,9.603139937305986
2024-05-06,10.470000267028809,2.194999933242798,10.026938056451627
2024-05-07,10.5,2.2070000171661377,9.804048976351355
2024-05-08,10.460000038146973,2.187000036239624,9.64424941182317
2024-05-09,10.460000038146973,2.3010001182556152,9.721670350135183
2024-05-10,10.475000381469727,2.252000093460083,9.492014318418061
2024-05-13,10.449999809265137,2.38100004196167,9.336667072732803
2024-05-14,10.449999809265137,2.3440001010894775,9.38550980525205
2024-05-15,10.468999862670898,2.4159998893737793,9.42438130757149
2024-05-16,11.045000076293945,2.494999885559082,9.654010247106566
2024-05-17,11.15999984741211,2.625999927520752,9.800443442689657
2024-05-20,11.505000114440918,2.750999927520752,10.125794223375786
2024-05-21,11.824999809265137,2.6710000038146973,10.505592894022143
2024-05-22,11.975000381469727,2.8420000076293945,10.940751971324167
2024-05-23,12.255000114440918,2.6570000648498535,11.176738668425497
2024-05-24,11.9399995803833,2.5199999809265137,10.811097937384082
2024-05-27,,,
2024-05-28,11.954999923706055,2.5899999141693115,10.675342149528973
2024-05-29,11.829999923706055,2.493000030517578,10.775222389591114
2024-05-30,11.960000038146973,2.572000026702881,11.141197202883793
2024-05-31,11.904999732971191,2.5869998931884766,10.868119695247719
2024-06-03,12.050000190734863,2.75600004196167,11.455502145885857
2024-06-04,11.989999771118164,2.5859999656677246,10.804129903357127
2024-06-05,11.970000267028809,2.756999969482422,10.637885189781832
2024-06-06,11.984999656677246,2.821000099182129,10.736208356785019
2024-06-07,11.970000267028809,2.9179999828338623,10.571622625119225
2024-06-10,11.96500015258789,2.9059998989105225,10.822478035031267
2024-06-11,12.0,3.128999948501587,10.816317239518126
