Date,Storage(TWh)
2021-10-29,859.8745
2021-10-30,860.4678
2021-10-31,861.0656
2021-11-01,861.0767
2021-11-02,858.2454
2021-11-03,854.6944
2021-11-04,851.8254
2021-11-05,849.1455
2021-11-06,848.1256
2021-11-07,847.5038
2021-11-08,844.3955
2021-11-09,841.0618
2021-11-10,837.8039
2021-11-11,834.4279
2021-11-12,830.7749
2021-11-13,828.8526
2021-11-14,827.5905
2021-11-15,824.0177
2021-11-16,819.8102
2021-11-17,816.1366
2021-11-18,812.9124
2021-11-19,810.7081
2021-11-20,809.0409
2021-11-21,806.9434
2021-11-22,802.3186
2021-11-23,796.9836
2021-11-24,790.7634
2021-11-25,784.851
2021-11-26,779.1364
2021-11-27,774.3973
2021-11-28,769.6518
2021-11-29,763.0644
2021-11-30,756.8966
2021-12-01,750.5951
2021-12-02,744.0328
2021-12-03,737.5599
2021-12-04,732.4916
2021-12-05,727.3714
2021-12-06,720.3386
2021-12-07,713.5074
2021-12-08,706.7163
2021-12-09,699.448
2021-12-10,692.7375
2021-12-11,687.2298
2021-12-12,682.8341
2021-12-13,676.8305
2021-12-14,671.2783
2021-12-15,666.0114
2021-12-16,660.6609
2021-12-17,655.2763
2021-12-18,650.7658
2021-12-19,645.9461
2021-12-20,638.3316
2021-12-21,629.7487
2021-12-22,620.9815
2021-12-23,614.1794
2021-12-24,610.3632
2021-12-25,607.3713
2021-12-26,603.5878
2021-12-27,600.2427
2021-12-28,597.6261
2021-12-29,596.5261
2021-12-30,596.2895
2021-12-31,597.9398
2022-01-01,600.4245
2022-01-02,600.4137
2022-01-03,598.9044
2022-01-04,596.1655
2022-01-05,591.8799
2022-01-06,587.5168
2022-01-07,581.7404
2022-01-08,576.9609
2022-01-09,572.1768
2022-01-10,564.0221
2022-01-11,555.9013
2022-01-12,547.6744
2022-01-13,539.756
2022-01-14,531.8066
2022-01-15,525.5723
2022-01-16,520.0626
2022-01-17,512.875
2022-01-18,505.119
2022-01-19,498.1384
2022-01-20,490.8656
2022-01-21,483.1578
2022-01-22,476.6819
2022-01-23,470.5199
2022-01-24,462.7379
2022-01-25,454.6487
2022-01-26,447.0515
2022-01-27,440.4757
2022-01-28,434.2103
2022-01-29,430.2332
2022-01-30,426.3531
2022-01-31,420.2242
2022-02-01,415.2835
2022-02-02,410.4205
2022-02-03,405.8298
2022-02-04,402.0459
2022-02-05,399.3311
2022-02-06,396.8214
2022-02-07,392.4174
2022-02-08,388.3226
2022-02-09,384.4337
2022-02-10,379.8319
2022-02-11,375.1295
2022-02-12,371.3088
2022-02-13,368.3807
